央視,#genre#
北京卫视4K,http://27.11.62.176:8008/rtp/225.0.4.122:7980
东方卫视4K,http://27.11.62.176:8008/rtp/225.0.4.103:7980
广东卫视4K,http://27.11.62.176:8008/rtp/225.0.4.102:7980
深圳卫视4K,http://27.11.62.176:8008/rtp/225.0.4.101:7980
湖南卫视4K,http://27.11.62.176:8008/rtp/225.0.4.107:7980
山东卫视4K,http://27.11.62.176:8008/rtp/225.0.4.106:7980
四川卫视4K,http://27.11.62.176:8008/rtp/225.0.4.108:7980
浙江卫视4K,http://27.11.62.176:8008/rtp/225.0.4.105:7980
江苏卫视4K,http://27.11.62.176:8008/rtp/225.0.4.104:7980
爱上4K,http://27.11.62.176:8008/rtp/225.0.4.226:7980
CCTV1,http://27.11.62.176:8008/rtp/225.0.4.74:7980
CCTV2,http://27.11.62.176:8008/rtp/225.0.4.132:7980
CCTV3,http://27.11.62.176:8008/rtp/225.0.4.142:7980
CCTV4,http://27.11.62.176:8008/rtp/225.0.4.176:7980
CCTV5,http://27.11.62.176:8008/rtp/225.0.4.143:7980
CCTV5+,http://27.11.62.176:8008/rtp/225.0.4.73:7980
CCTV6,http://27.11.62.176:8008/rtp/225.0.4.144:7980
CCTV7,http://27.11.62.176:8008/rtp/225.0.4.127:7980
CCTV8,http://27.11.62.176:8008/rtp/225.0.4.137:7980
CCTV9,http://27.11.62.176:8008/rtp/225.0.4.131:7980
CCTV10,http://27.11.62.176:8008/rtp/225.0.4.130:7980
CCTV11,http://27.11.62.176:8008/rtp/225.0.4.218:7980
CCTV12,http://27.11.62.176:8008/rtp/225.0.4.129:7980
CCTV13,http://27.11.62.176:8008/rtp/225.0.4.219:7980
CCTV14,http://27.11.62.176:8008/rtp/225.0.4.128:7980
CCTV15,http://27.11.62.176:8008/rtp/225.0.4.220:7980
CCTV17,http://27.11.62.176:8008/rtp/225.0.4.179:7980
CETV1,http://27.11.62.176:8008/rtp/225.0.4.186:7980
CETV4,http://27.11.62.176:8008/rtp/225.0.4.182:7980
CHC影迷电影,http://27.11.62.176:8008/rtp/225.0.4.230:7980
CHC家庭影院,http://27.11.62.176:8008/rtp/225.0.4.228:7980
CHC动作电影,http://27.11.62.176:8008/rtp/225.0.4.229:7980
中学生,http://27.11.62.176:8008/rtp/225.0.4.184:7980
法治天地,http://27.11.62.176:8008/rtp/225.0.4.240:7980
游戏风云,http://27.11.62.176:8008/rtp/225.0.4.237:7980
